case              , x_pu_default       , x_abs_default      , status, message, runtime_s         , demand_energy_mwh, load_shed_energy_mwh, load_shed_percent , load_shed_peak_mw, max_line_loading_pu, max_trafo_loading_pu, peak_load_mw      , curtailment_energy_mwh
xpu=0.00_xabs=0.00, 0.0                , 0.0                , ok    ,        ,  7.728754997253418,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.00_xabs=0.08, 0.0                , 0.08333333333333333, ok    ,        ,  7.468712091445923,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.00_xabs=0.17, 0.0                , 0.16666666666666666, ok    ,        ,  7.670207977294922,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.00_xabs=0.25, 0.0                , 0.25               , ok    ,        , 10.311589241027832,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.08_xabs=0.00, 0.08333333333333333, 0.0                , ok    ,        ,  9.571129560470581,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.08_xabs=0.08, 0.08333333333333333, 0.08333333333333333, ok    ,        , 10.3760666847229  ,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.08_xabs=0.17, 0.08333333333333333, 0.16666666666666666, ok    ,        , 10.861751317977905,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.08_xabs=0.25, 0.08333333333333333, 0.25               , ok    ,        , 10.248809337615967,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.17_xabs=0.00, 0.16666666666666666, 0.0                , ok    ,        , 10.882323026657104,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.17_xabs=0.08, 0.16666666666666666, 0.08333333333333333, ok    ,        , 10.057799816131592,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.17_xabs=0.17, 0.16666666666666666, 0.16666666666666666, ok    ,        , 10.464027643203735,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.17_xabs=0.25, 0.16666666666666666, 0.25               , ok    ,        , 10.082082748413086,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.25_xabs=0.00, 0.25               , 0.0                , ok    ,        , 10.529266357421875,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.25_xabs=0.08, 0.25               , 0.08333333333333333, ok    ,        , 10.443877696990967,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.25_xabs=0.17, 0.25               , 0.16666666666666666, ok    ,        ,  9.186232089996338,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
xpu=0.25_xabs=0.25, 0.25               , 0.25               , ok    ,        ,  7.990318298339844,  952589.976219512,    39081.91138211472, 4.1027002548585285,   132.04325203254,  0.7000000000000387,   0.8109317192548406, 3072.9542682926835, 
