,Coca_Codo_Sinclair,Molino,Sopladora,Minas_San_Francisco,Marcel_Laniado,San_Francisco,Delsitanisagua,Mazar,Agoyan,Pucara,Manduriacu,Due,Hidrosanbartolo,Hidronormandfa,Sarapullo,Baba,Cumbaya,Pusuno,Abanico,Sabanilla,Nayon,Topo,Ocana,Saucay,Guangopolo_H,Sigchos,Saymirfn,Calope,Recuperadora,Sibimbe,Alao,Palmira-_Nanegal,Rio_Verde_Chico,Victoria,El_Carmen,Chalpi,San_Jose_de_Tambo,Ambi,Alazan,Papallacta,San_Jose_de_Minas,Vindobona,Illuchi_No.2,Pasochoa,Illuchi_No.1,Rfo_Blanco,Penfnsula,San_Miguel_de_Car,Perlabf,Carlos_Mora,Loreto,La_Calera,Los_Chillos,Geppert,La_Playa,Ulba,El_Laurel,Uravia,Corazon,Gualaceo,Buenos_Aires,Hidrocarolina,Fabrica_Imbabura,Sillunchi_I,Tilivi
2022-01-01 00:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 01:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 02:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 03:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 04:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 05:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 06:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 07:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 08:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
2022-01-01 09:00:00,0.36210152171498394,0.5350387317600432,0.47988366456616594,0.3469043603950856,0.4945054945054946,0.3469043603950856,0.5924739791833468,0.255127563781891,0.3469043603950856,0.37891413033944393,0.36210152171498394,0.36210152171498394,0.5924739791833468,0.22887916526422086,0.36210152171498394,0.4945054945054946,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.5924739791833468,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.22887916526422086,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.3469043603950856,0.36210152171498394,0.5924739791833468,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.22887916526422086,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.36210152171498394,0.3469043603950856
