caudal_id,lat,lon,source
agoyan,-1.3319157,-78.2625285,from_plants_xlsx
coca_codo_sinclair,-0.3386642,-77.809851,from_plants_xlsx
delsitanisagua,-4.0042008,-78.9577754,from_plants_xlsx
mazar,-2.7051608,-78.6014387,from_plants_xlsx
