Name,Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,Year
NuevaMacas230,728,230,substation,True,transmission,0,-78.11,-2.31,EC,False,-78.11,-2.31,True,230,,AC,,1,0,inf,PQ,,,2026
NuevaProsperina230,730,230,substation,True,transmission,0,-79.93,-2.11,EC,False,-79.93,-2.11,True,230,,AC,,1,0,inf,PQ,,,2026
Ambi_B269,757,69,substation,True,transmission,0,-78.2167,0.3327,EC,False,-78.2167,0.3327,True,69,,AC,,1,0,inf,PQ,,,2027
Aroma_Santo_Solar_B269,754,69,substation,True,transmission,0,-79.7911481,-4.3289128,EC,False,-79.7911481,-4.3289128,True,69,,AC,,1,0,inf,PQ,,,2027
El_Rosario69,712,69,substation,True,transmission,0,-78.5,-2.8333,EC,False,-78.5,-2.8333,True,69,,AC,,1,0,inf,PQ,,,2027
Imbabura_Solar_B269,758,69,substation,True,transmission,0,-78.1173588,0.3478421,EC,False,-78.1173588,0.3478421,True,69,,AC,,1,0,inf,PQ,,,2027
Intiyana_Solar_B269,759,69,substation,True,transmission,0,-78.2069,0.5973,EC,False,-78.2069,0.5973,True,69,,AC,,1,0,inf,PQ,,,2027
La_Magdalena69,708,69,substation,True,transmission,0,-78.020833,-0.149167,EC,False,-78.020833,-0.149167,True,69,,AC,,1,0,inf,PQ,,,2027
LasBrisas69,734,69,substation,True,transmission,0,-79.9,-2.15,EC,False,-79.9,-2.15,True,69,,AC,,1,0,inf,PQ,,,2027
Maravilla69,707,69,substation,True,transmission,0,-77.7763,-0.8167,EC,False,-77.7763,-0.8167,True,69,,AC,,1,0,inf,PQ,,,2027
Nariapura_B269,755,69,substation,True,transmission,0,-78.1173588,0.3478421,EC,False,-78.1173588,0.3478421,True,69,,AC,,1,0,inf,PQ,,,2027
Palestina69,722,69,substation,True,transmission,0,-79.79,-1.96,EC,False,-79.79,-1.96,True,69,,AC,,1,0,inf,PQ,,,2027
SanJuandeManta69,723,69,substation,True,transmission,0,-80.708,-0.947,EC,False,-80.708,-0.947,True,69,,AC,,1,0,inf,PQ,,,2027
