Line,num_parallel,v_nom,bus0,bus1,length,dc,geometry,bounds,carrier,type,s_max_pu,s_nom,underwater_fraction,v_nom_raw,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,s_nom_pu,project,bus0_name,bus1_name,bus0_match_name,bus1_match_name,build_half,circuits_planned,circuits_in_service,v_nom_design,conductor,action,notes,source_text,Year,year
823,1,138.0,,746.0,15.0,False,,,AC,243-AL1/39-ST1A 20.0,1.0,154.16984238170576,0.0,230.0,0.0,0.0,0.0,0.0,154.16984238170576,False,0.0,inf,0.0,2029,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Urcuqui_Chachimbiro_138,Urcuqui,Chachimbiro,,Chachimbiro138,H1,1,1,,750 ACAR,add_line,,"• Línea de Transmisión Urcuquí – Chachimbiro, simple circuito, 15 km aproximadamente, 750 ACAR, 138 kV.",2029,2029
824,1,230.0,,726.0,100.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2029,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_La_Ceiba_La_Avanzada_230,La Ceiba,La Avanzada,,LaAvanzada230,H2,1,1,,1200 ACAR,add_line,,"• L/T La Ceiba – La Avanzada de 230 kV, simple circuito, 100 km aproximadamente, 1200 ACAR. Se buscará aprovechar",2029,2029
825,2,230.0,,,10.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2030,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Abitagua_Topo_230,Abitagua,Topo,,,H1,2,2,,1200 ACAR,add_line,,"• Línea de Transmisión Abitagua – S/E Topo doble circuito, 230 kV, 1200 ACAR, 10 km.",2030,2030
826,2,230.0,709.0,,47.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2030,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Cardenillo_Taday_230,Cardenillo,Taday,Paute_Cardenillo230,,H1,2,2,,2x1100 ACAR,add_line,,"• Línea de Transmisión Cardenillo – Taday, 230 kV; 47 km, doble circuito, 2x1100 ACAR.",2030,2030
827,1,230.0,,,9.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2030,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_La_Union_Pasaje_230,La Union,Pasaje,,,H1,1,1,,750 ACAR,add_line,,"• Línea de Transmisión La Unión – Pasaje 230 kV, 750 ACAR, un circuito, 9 km.",2030,2030
828,2,230.0,,,10.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2030,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_San_Francisco_Topo_230,San Francisco,Topo,,,H1,2,2,,1200 ACAR,add_line,,"• Línea de Transmisión San Francisco – Topo doble circuito 230 kV, 1200 ACAR, 10 km.",2030,2030
829,2,230.0,,709.0,11.5,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2030,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Sopladora_Cardenillo_230,Sopladora,Cardenillo,,Paute_Cardenillo230,H1,2,2,,2x1100 ACAR,add_line,,"• Línea de Transmisión Sopladora – Cardenillo, 230 kV; 11,5 Km, doble circuito, 2x1100 ACAR.",2030,2030
830,1,230.0,,,52.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Zhoray_Sinincay_230_add,Zhoray,Sinincay,,,H2,2,1,,1200 ACAR,add_parallel,Explicit project to install second circuit.,"• Montaje del segundo circuito Zhoray – Sinincay 230 kV, 1200 ACAR, 52 km.",2031,2031
831,1,500.0,,502.0,207.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Chorrillos_Pasaje_500_L2_add,Chorrillos,Pasaje,,Pasaje500,H1,2,1,,ACAR 750 MCM (4-bundle),add_parallel,Explicit project to install the second circuit (L2) on Chorrillos–Pasaje.,"• L/T Chorrillos - Pasaje – L2, montaje del segundo circuito de 500kV, 207 km, haz de 4 conductores ACAR 750MCM, en la línea",2031,2031
832,1,500.0,,501.0,194.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Chorrillos_Taday_500_L1,Chorrillos,Taday,,Taday500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Chorrillos - Taday - L1, línea 500kV, simple circuito, 194 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
833,1,500.0,,501.0,194.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Chorrillos_Taday_500_L2,Chorrillos,Taday,,Taday500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Chorrillos - Taday – L2, línea 500kV, simple circuito, 194 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
834,1,500.0,,502.0,184.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Zamora_Pasaje_500_L1,Zamora,Pasaje,,Pasaje500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Zamora - Pasaje - L1, línea 500kV, simple circuito, 184 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
835,1,500.0,,502.0,184.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Zamora_Pasaje_500_L2,Zamora,Pasaje,,Pasaje500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Zamora - Pasaje – L2, línea 500kV, simple circuito, 184 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
836,1,500.0,,501.0,77.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Zamora_Taday_500_L1,Zamora,Taday,,Taday500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Zamora - Taday - L1, línea 500kV, simple circuito, 77 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
837,1,500.0,,501.0,77.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2031,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Zamora_Taday_500_L2,Zamora,Taday,,Taday500,H1,1,1,,ACAR 1100MCM,add_line,,"• Línea de Transmisión Zamora - Taday – L2, línea 500kV, simple circuito, 77 km, haz de 4 conductores ACAR 1100MCM.",2031,2031
838,1,500.0,718.0,502.0,1.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2035,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Bloque_Nuclear_1_400_MW500_to_Pasaje500_500,Bloque_Nuclear_1_400_MW500,Pasaje500,Bloque_Nuclear_1_400_MW500,Pasaje500,H1,1,1,500.0,AUTO (placeholder),add_line,"Auto-generated nuclear connector: connected nuclear 500 kV bus to nearest masterplan 500 kV bus by haversine distance (length includes 15% routing factor, min 1 km).",AUTO: derived from bus coordinates (not from PDF).,2035,2035
839,1,500.0,770.0,501.0,183.67349397567673,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2040,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Bloque_Nuclear_2_400_MW500_to_Taday500_500,Bloque_Nuclear_2_400_MW500,Taday500,Bloque_Nuclear_2_400_MW500,Taday500,H1,1,1,500.0,AUTO (placeholder),add_line,"Auto-generated nuclear connector: connected nuclear 500 kV bus to nearest masterplan 500 kV bus by haversine distance (length includes 15% routing factor, min 1 km).",AUTO: derived from bus coordinates (not from PDF).,2040,2040
840,1,500.0,771.0,502.0,145.65151891372057,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2045,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Bloque_Nuclear_3_400_MW500_to_Pasaje500_500,Bloque_Nuclear_3_400_MW500,Pasaje500,Bloque_Nuclear_3_400_MW500,Pasaje500,H1,1,1,500.0,AUTO (placeholder),add_line,"Auto-generated nuclear connector: connected nuclear 500 kV bus to nearest masterplan 500 kV bus by haversine distance (length includes 15% routing factor, min 1 km).",AUTO: derived from bus coordinates (not from PDF).,2045,2045
