Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Laguna,Termica,MCI,No_Incorporado,Ecuador,0.44,,,,,,2000,,,-0.2886094,-76.5906632,,
Limoncocha,Termica,MCI,No_Incorporado,Ecuador,7.47,,,,,,2000,,,-0.2886094,-76.5906632,,
Lligua,Termica,MCI,S.N.I.,Ecuador,3.6,,,,,,2000,,,-1.2491,-78.6168,,
Lobo,Termica,MCI,No_Incorporado,Ecuador,1.09,,,,,,2000,,,-0.78618,-76.4803184,,
Lojaenergy,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.7,,,,,,2000,,,-3.987,-79.3592,,
Loreto,Hidraulica,Pasada,S.N.I.,Ecuador,2.2,,,,,,2000,,,-0.2222967,-78.5234313,,
Loreto_1,Termica,MCI,S.N.I.,Ecuador,1.8,,,,,,2000,,,-0.6471884,-77.3252738,,
Los_Chillos,Hidraulica,Pasada,S.N.I.,Ecuador,1.76,,,,,,2000,,,-0.39888,-78.4368107,,
Macas,Termica,MCI,S.N.I.,Ecuador,4.0,,,,,,2000,,,-2.4303097,-77.880192,,
Manduriacu,Hidraulica,Pasada,S.N.I.,Ecuador,65.0,,,,,,2000,,,0.3955234,-78.4507013,,
Manta_II,Termica,MCI,S.N.I.,Ecuador,17.34,,,,,,2000,,,-1.0321775,-80.8222167,,
Marcel_Laniado,Hidraulica,Embalse,S.N.I.,Ecuador,213.0,,,,,,2000,,,-0.9910107,-79.6642365,,
Mariann_30,Termica,MCI,No_Incorporado,Ecuador,0.8,,,,,,2000,,,-0.2655114,-75.8920692,,
Mariann_4A,Termica,MCI,No_Incorporado,Ecuador,1.25,,,,,,2000,,,-0.2655114,-75.8920692,,
Mariann_5-8,Termica,MCI,No_Incorporado,Ecuador,1.05,,,,,,2000,,,-0.2655114,-75.8920692,,
Mariann_9,Termica,MCI,No_Incorporado,Ecuador,0.97,,,,,,2000,,,-0.2655114,-75.8920692,,
Mariann_Battery,Termica,MCI,No_Incorporado,Ecuador,0.8,,,,,,2000,,,-0.2655114,-75.8920692,,
Mariann_Vieja,Termica,MCI,No_Incorporado,Ecuador,3.0,,,,,,2000,,,-0.2655114,-75.8920692,,
Mazar,Hidraulica,Embalse,S.N.I.,Ecuador,170.0,,,,,,2000,,,-2.7051608,-78.6014387,,
MDC-CPF,Termica,MCI,No_Incorporado,Ecuador,7.4,,,,,,2000,,,-0.78618,-76.4803184,,
Minas_San_Francisco,Hidraulica,Pasada,S.N.I.,Ecuador,274.5,,,,,,2000,,,-3.1748913,-79.5147127,,
Miraflores,Termica,MCI,S.N.I.,Ecuador,39.4,,,,,,2000,,,-1.0321775,-80.8222167,,
Mono,Termica,MCI,No_Incorporado,Ecuador,1.74,,,,,,2000,,,-0.78618,-76.4803184,,
Mulalo,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-0.9336215,-78.6150488,,
Nantu_B,Termica,MCI,No_Incorporado,Ecuador,3.88,,,,,,2000,,,-0.78618,-76.4803184,,
Nantu_C,Termica,MCI,No_Incorporado,Ecuador,1.97,,,,,,2000,,,-0.78618,-76.4803184,,
Nantu_D,Termica,MCI,No_Incorporado,Ecuador,4.33,,,,,,2000,,,-0.78618,-76.4803184,,
Nayon,Hidraulica,Pasada,S.N.I.,Ecuador,29.7,,,,,,2000,,,-0.215492,-78.5013648,,
Nenke,Termica,MCI,No_Incorporado,Ecuador,1.58,,,,,,2000,,,-0.9846232,-75.9891533,,
Nizag,Hidraulica,Pasada,No_Incorporado,Ecuador,0.75,,,,,,2000,,,-2.1973,-78.8473,,
Normandia_0,Hidraulica,Pasada,S.N.I.,Ecuador,49.58,,,,,,2000,,,-2.4303097,-77.880192,,
Noroccidente,Hidraulica,Pasada,S.N.I.,Ecuador,0.3,,,,,,2000,,,-0.215492,-78.5013648,,
Ocana,Hidraulica,Pasada,S.N.I.,Ecuador,26.1,,,,,,2000,,,-2.5542,-78.9391,,
Oso,Termica,MCI,No_Incorporado,Ecuador,29.57,,,,,,2000,,,-0.9438718,-78.1083982,,
Otavalo_I,Hidraulica,Pasada,No_Incorporado,Ecuador,0.4,,,,,,2000,,,0.2333,-78.2667,,
Otavalo_II,Hidraulica,Pasada,S.N.I.,Ecuador,0.4,,,,,,2000,,,0.2333,-78.2667,,
Pacayacu,Termica,MCI,No_Incorporado,Ecuador,0.28,,,,,,2000,,,0.0854,-76.8915,,
Paka_Norte,Termica,MCI,No_Incorporado,Ecuador,0.5,,,,,,2000,,,-0.2611097,-76.9080096,,
Paka_Sur,Termica,MCI,No_Incorporado,Ecuador,4.75,,,,,,2000,,,-0.2611097,-76.9080096,,
Pakay,Termica,MCI,No_Incorporado,Ecuador,1.85,,,,,,2000,,,-0.2611097,-76.9080096,,
Palmar_Oeste,Termica,MCI,No_Incorporado,Ecuador,4.15,,,,,,2000,,,-0.2886094,-76.5906632,,
Palo_Azul_PGE,Termica,Turbovapor,No_Incorporado,Ecuador,33.18,,,,,,2000,,,-0.2611097,-76.9080096,,
Panacocha,Termica,MCI,No_Incorporado,Ecuador,0.13,,,,,,2000,,,-0.78618,-76.4803184,,
Panayacu,Termica,MCI,No_Incorporado,Ecuador,0.32,,,,,,2000,,,-0.2886094,-76.5906632,,
Panel_Fotovoltaico,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.37,,,,,,2000,,,-2.6463,-78.2167,,
Panel_Fotovoltaico_1,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.2,,,,,,2000,,,-1.916667,-77.0,,
Papallacta,Hidraulica,Pasada,S.N.I.,Ecuador,6.2,,,,,,2000,,,-0.2222967,-78.5234313,,
Paragachi,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,0.3924612,-77.9402957,,
Paramo,Termica,MCI,No_Incorporado,Ecuador,2.56,,,,,,2000,,,-0.2222967,-78.5234313,,
Pasochoa,Hidraulica,Pasada,S.N.I.,Ecuador,4.5,,,,,,2000,,,-0.4984774,-78.6516915,,
Pastocalle,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-0.9336215,-78.6150488,,
Paute,Hidraulica,Embalse,S.N.I.,Ecuador,1100.0,,,,,,2000,,,-2.7051608,-78.6014387,,
Payamino,Termica,MCI,No_Incorporado,Ecuador,10.98,,,,,,2000,,,-0.78618,-76.4803184,,
Payamino_1,Termica,MCI,S.N.I.,Ecuador,1.8,,,,,,2000,,,-0.78618,-76.4803184,,
PBH-Estacion,Termica,MCI,No_Incorporado,Ecuador,0.2,,,,,,2000,,,-0.78618,-76.4803184,,
PBH-HUA02,Termica,MCI,No_Incorporado,Ecuador,0.7,,,,,,2000,,,-0.78618,-76.4803184,,
PBHI-INCHI_A,Termica,MCI,No_Incorporado,Ecuador,2.3,,,,,,2000,,,-0.78618,-76.4803184,,
PBHI-INCHI_B,Termica,MCI,No_Incorporado,Ecuador,0.5,,,,,,2000,,,-0.78618,-76.4803184,,
PBH-PAR12,Termica,MCI,No_Incorporado,Ecuador,1.5,,,,,,2000,,,-0.78618,-76.4803184,,
PBH-PSO24,Termica,MCI,No_Incorporado,Ecuador,0.7,,,,,,2000,,,-0.78618,-76.4803184,,
PCC-Tierras_Orientales,Termica,MCI,No_Incorporado,Ecuador,0.11,,,,,,2000,,,-0.78618,-76.4803184,,
Pedernales,Termica,MCI,S.N.I.,Ecuador,3.9,,,,,,2000,,,0.0716,-79.9973,,
Peninsula,Hidraulica,Pasada,S.N.I.,Ecuador,2.9,,,,,,2000,,,-1.2491,-78.6168,,
Penke_B,Termica,MCI,No_Incorporado,Ecuador,1.09,,,,,,2000,,,-0.78618,-76.4803184,,
Perlabi,Hidraulica,Pasada,S.N.I.,Ecuador,2.46,,,,,,2000,,,-0.215492,-78.5013648,,
Pichacay,Biogas,MCI,S.N.I.,Ecuador,1.0,,,,,,2000,,,-2.9006,-79.0045,,
Pichincha,Termica,MCI,No_Incorporado,Ecuador,0.17,,,,,,2000,,,0.0854,-76.8915,,
Pindo,Termica,MCI,No_Incorporado,Ecuador,1.45,,,,,,2000,,,-0.78618,-76.4803184,,
Planta_Chimborazo,Hidraulica,Pasada,No_Incorporado,Ecuador,1.9,,,,,,2000,,,-1.6731483,-78.6486465,,
Planta_de_Agua,Termica,MCI,No_Incorporado,Ecuador,1.52,,,,,,2000,,,0.0807,-77.5649,,
Planta_Guapan,Termica,Turbovapor,No_Incorporado,Ecuador,2.5,,,,,,2000,,,-2.6317292,-78.7008934,,
Playas_del_Cuyabeno,Termica,MCI,No_Incorporado,Ecuador,0.43,,,,,,2000,,,-0.2655114,-75.8920692,,
Pucara,Hidraulica,Embalse,S.N.I.,Ecuador,73.0,,,,,,2000,,,-1.1725302,-78.5423177,,
Pucuna,Termica,MCI,No_Incorporado,Ecuador,1.46,,,,,,2000,,,-0.2611097,-76.9080096,,
Puerto_Nuevo,Termica,MCI,No_Incorporado,Ecuador,0.0002,,,,,,2000,,,-0.78618,-76.4803184,,
Puerto_Quito,Termica,MCI,No_Incorporado,Ecuador,0.16,,,,,,2000,,,0.0864955,-79.052577,,
Puna_Nueva,Termica,MCI,No_Incorporado,Ecuador,2.52,,,,,,2000,,,-2.1899066,-79.887726,,
Pusuno_0,Hidraulica,Pasada,S.N.I.,Ecuador,38.25,,,,,,2000,,,-0.9438718,-78.1083982,,
Quevedo_II,Termica,MCI,S.N.I.,Ecuador,81.0,,,,,,2000,,,-1.0243508,-79.4663323,,
Recuperadora,Hidraulica,Pasada,S.N.I.,Ecuador,14.5,,,,,,2000,,,-0.215492,-78.5013648,,
Renova_Loja,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.7,,,,,,2000,,,-3.987,-79.3592,,
REPSOL_YPF-NPF-1,Termica,Turbogas,No_Incorporado,Ecuador,35.0,,,,,,2000,,,-0.9846232,-75.9891533,,
REPSOL_YPF-NPF-2,Termica,MCI,No_Incorporado,Ecuador,8.49,,,,,,2000,,,-0.9846232,-75.9891533,,
REPSOL_YPF-SPF-1,Termica,Turbogas,No_Incorporado,Ecuador,19.0,,,,,,2000,,,-0.9846232,-75.9891533,,
REPSOL_YPF-SPF-2,Termica,MCI,No_Incorporado,Ecuador,13.63,,,,,,2000,,,-0.9846232,-75.9891533,,
REPSOL_YPF-SPF-3,Termica,MCI,No_Incorporado,Ecuador,44.3,,,,,,2000,,,-0.9846232,-75.9891533,,
REPSOL_YPF-SSFD,Termica,MCI,No_Incorporado,Ecuador,6.95,,,,,,2000,,,-0.2886094,-76.5906632,,
Rio_Blanco,Hidraulica,Pasada,S.N.I.,Ecuador,3.0,,,,,,2000,,,-1.6731483,-78.6486465,,
RS_Roth_Shushufindi_Drago_2,Termica,MCI,No_Incorporado,Ecuador,4.79,,,,,,2000,,,-0.2886094,-76.5906632,,
RS_Roth_Shushufindi_Drago_N1,Termica,MCI,No_Incorporado,Ecuador,2.4,,,,,,2000,,,-0.2886094,-76.5906632,,
Sabiango_Solar,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.73,,,,,,2000,,,-4.3490568,-79.9161416,,
Sacha,Termica,MCI,No_Incorporado,Ecuador,34.37,,,,,,2000,,,-0.2611097,-76.9080096,,
Sacha_1,Termica,MCI,No_Incorporado,Ecuador,18.6,,,,,,2000,,,-0.2611097,-76.9080096,,
Sacha_Norte_1,Termica,MCI,No_Incorporado,Ecuador,3.26,,,,,,2000,,,-0.2611097,-76.9080096,,
Sacha_Norte_2,Termica,MCI,No_Incorporado,Ecuador,11.49,,,,,,2000,,,-0.2611097,-76.9080096,,
Sacha_Sur,Termica,MCI,No_Incorporado,Ecuador,3.09,,,,,,2000,,,-0.2611097,-76.9080096,,
Sacha_Sur_GAS_Wakesha,Termica,MCI,No_Incorporado,Ecuador,3.6,,,,,,2000,,,-0.2611097,-76.9080096,,
Salinas,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,2.0,,,,,,2000,,,0.3478421,-78.1173588,,
San_Carlos,Biomasa,Turbovapor,S.N.I.,Ecuador,73.6,,,,,,2000,,,-2.2333629,-79.3861649,,
San_Cristobal,Termica,MCI,No_Incorporado,Ecuador,5.91,,,,,,2000,,,-0.9151226,-89.5662955,,
San_Cristobal_Eolico,Eolica,Eolica,No_Incorporado,Ecuador,2.4,,,,,,2000,,,-0.9151226,-89.5662955,,
San_Cristobal_Solar_Eolicsa,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.01,,,,,,2000,,,-0.9151226,-89.5662955,,
San_Francisco,Hidraulica,Pasada,S.N.I.,Ecuador,212.0,,,,,,2000,,,-1.3319157,-78.2625285,,
San_Miguel_de_Car,Hidraulica,Pasada,S.N.I.,Ecuador,2.52,,,,,,2000,,,0.811,-77.7173,,
San_Pedro,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-4.2303,-79.4366,,
Sanersol,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-3.4145539,-80.154904,,
Sansahuari,Termica,MCI,No_Incorporado,Ecuador,6.49,,,,,,2000,,,-0.2655114,-75.8920692,,
Sansau,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-1.8167,-79.5167,,
