Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Tiputini_C-1,Termica,MCI,No_Incorporado,Ecuador,22.59,,,,,,2000,,,-0.78618,-76.4803184,,
Tiputini_C-2,Termica,MCI,No_Incorporado,Ecuador,15.06,,,,,,2000,,,-0.78618,-76.4803184,,
Topo,Hidraulica,Pasada,S.N.I.,Ecuador,27.0,,,,,,2000,,,-1.3319157,-78.2625285,,
TPP,Termica,MCI,No_Incorporado,Ecuador,65.4,,,,,,2000,,,-0.2655114,-75.8920692,,
Tren_Salinas,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,0.3478421,-78.1173588,,
Trinitaria,Termica,Turbovapor,S.N.I.,Ecuador,133.0,,,,,,2000,,,-2.1899066,-79.887726,,
Tumali,Termica,MCI,No_Incorporado,Ecuador,1.07,,,,,,2000,,,-0.78618,-76.4803184,,
Uravia,Hidraulica,Pasada,S.N.I.,Ecuador,0.98,,,,,,2000,,,-0.215492,-78.5013648,,
VHR,Termica,MCI,No_Incorporado,Ecuador,8.7,,,,,,2000,,,-0.2655114,-75.8920692,,
Victoria,Hidraulica,Pasada,S.N.I.,Ecuador,10.0,,,,,,2000,,,-0.2222967,-78.5234313,,
Victoria_II,Termica,Turbogas,S.N.I.,Ecuador,102.0,,,,,,2000,,,-2.1899066,-79.887726,,
Villano_A,Termica,MCI,No_Incorporado,Ecuador,4.2,,,,,,2000,,,-1.3537363,-76.8441101,,
Villonaco,Eolica,Eolica,S.N.I.,Ecuador,16.5,,,,,,2000,,,-4.0528506,-79.8053425,,
Vindobona,Hidraulica,Pasada,S.N.I.,Ecuador,5.86,,,,,,2000,,,-0.215492,-78.5013648,,
Vinita,Termica,MCI,No_Incorporado,Ecuador,2.64,,,,,,2000,,,-0.2655114,-75.8920692,,
Wanke_1,Termica,MCI,No_Incorporado,Ecuador,4.08,,,,,,2000,,,-0.78618,-76.4803184,,
Wildtecsa,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-1.8167,-79.5167,,
Yamanunka,Termica,MCI,No_Incorporado,Ecuador,1.2,,,,,,2000,,,-0.2886094,-76.5906632,,
Yanaq_Oeste,Termica,MCI,No_Incorporado,Ecuador,1.15,,,,,,2000,,,-0.2611097,-76.9080096,,
Yuca,Termica,MCI,No_Incorporado,Ecuador,5.48,,,,,,2000,,,-0.78618,-76.4803184,,
Yuralpa,Termica,MCI,No_Incorporado,Ecuador,9.21,,,,,,2000,,,-0.9438718,-78.1083982,,
ZEMI,Termica,MCI,No_Incorporado,Ecuador,1.07,,,,,,2000,,,-0.78618,-76.4803184,,
