bus,0
58,31683.72075723399
278,2462.9825305239797
281,1433.9184632237248
7,1400.035478014001
181,1387.2498914772113
56,1249.5157288311882
197,1211.410665874341
47,1166.572367667874
108,1098.5255712256283
277,995.1531116767956
33,968.9432126297897
4,935.5247739878087
73,868.9111209694415
25,845.009385932945
288,839.8308549312666
21,825.994772216911
1,810.5548883995425
78,796.2105435593522
87,784.9587404733918
82,784.44978068956
53,783.2983103376055
110,771.856583942739
55,767.4526307353769
146,767.4144987519707
51,663.6203225803499
26,631.0640657275435
131,620.1618295587232
11,599.3149837374059
64,597.0239748155407
22,587.6042566120221
217,580.6808407884712
256,560.1455315551182
93,549.5022462772004
91,538.6881441632526
123,537.7153982675477
115,529.2765550403359
66,526.4993989970195
92,519.2381679957051
32,515.2030526750133
40,513.3479867097225
103,506.78297787060757
3,503.1877663745403
145,489.2328578428809
60,479.1825128053857
158,473.32963519036866
14,453.6543333023533
111,453.23923880049546
132,430.41881034372904
48,430.06194637001
12,413.909744992088
38,390.9426436525983
257,382.8803449998793
65,373.7219630028313
24,364.9076275701739
16,352.55953408775076
17,349.5398964156691
280,344.96003836233814
85,336.91341388660834
107,319.24353521756774
8,313.82830056542247
81,288.93801641384425
196,286.74417705107504
80,273.51487760027373
68,272.0891507323118
102,201.6051208767467
5,189.81021766517526
28,160.76787999836344
77,146.96751734162183
52,135.0137526138784
165,126.35447917705875
71,110.10655310761831
166,104.64656795241268
10,60.33646121738403
83,58.30001947827122
128,1.3322676295501878e-14
