Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
78,230.0,substation,False,transmission,0.0,-80.4599,-1.0138,EC,False,-80.4599,-1.0138,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
80,138.0,substation,False,transmission,0.0,-80.43,-1.0722,EC,False,-80.43,-1.0722,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
81,230.0,substation,False,transmission,0.0,-78.9866,-0.3184,EC,True,-78.9866,-0.3184,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
82,500.0,substation,False,transmission,0.0,-78.6919,-1.3433,EC,True,-78.6919,-1.3433,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
83,138.0,substation,False,transmission,0.0,-77.9377,0.4027,EC,True,-77.9377,0.4027,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
84,230.0,substation,False,transmission,0.0,-77.9367,0.4037,EC,False,-77.9367,0.4037,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
85,230.0,substation,False,transmission,0.0,-78.758,-2.6697,EC,True,-78.758,-2.6697,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
86,138.0,substation,False,transmission,0.0,-79.1226,-0.2617,EC,True,-79.1226,-0.2617,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
87,230.0,substation,False,transmission,0.0,-79.1216,-0.2607,EC,False,-79.1216,-0.2607,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
89,230.0,substation,False,transmission,0.0,-78.4535,-3.5653,EC,False,-78.4535,-3.5653,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
91,138.0,substation,False,transmission,0.0,-78.3299,-0.3,EC,True,-78.3299,-0.3,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
92,230.0,substation,False,transmission,0.0,-78.3289,-0.299,EC,False,-78.3289,-0.299,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
93,500.0,substation,False,transmission,0.0,-78.3279,-0.298,EC,False,-78.3279,-0.298,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
95,138.0,substation,False,transmission,0.0,-77.33,-0.7082,EC,False,-77.33,-0.7082,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
97,138.0,substation,False,transmission,0.0,-78.8585,-3.9721,EC,False,-78.8585,-3.9721,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
99,138.0,substation,False,transmission,0.0,-79.8963,-3.2783,EC,False,-79.8963,-3.2783,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
100,230.0,substation,False,transmission,0.0,-79.8953,-3.2773,EC,False,-79.8953,-3.2773,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
102,138.0,substation,False,transmission,0.0,-79.5516,-2.1628,EC,False,-79.5516,-2.1628,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
103,230.0,substation,False,transmission,0.0,-79.5506,-2.1618,EC,False,-79.5506,-2.1618,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
105,230.0,substation,False,transmission,0.0,-79.7261,-2.2178,EC,False,-79.7261,-2.2178,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
106,138.0,substation,False,transmission,0.0,-79.8782,-3.117,EC,True,-79.8782,-3.117,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
107,230.0,substation,False,transmission,0.0,-79.4574,-0.6711,EC,True,-79.4574,-0.6711,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
108,500.0,substation,False,transmission,0.0,-77.513,-0.1057,EC,True,-77.513,-0.1057,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
